teacher_id,course_code
1,TTC2070-3016
2,TTC2040-3019
2,TTC8850-3004
2,TTC1060-3029
2,TTC8850-3003
3,HTGP0060-3005
3,HTGP0080-3005
4,HTGP0500-3005
4,HTGP0130-3003
4,KDMP0410-3004
4,HTGP0380-3003
4,HTGP0490-3003
4,HTGP0100-3005
4,HTGP0410-3002
4,HTGP0330-3003
4,HTGP0110-3006
4,HTGP0150-3002
5,HTGP0500-3005
6,HTGP0120-3002
6,HTGP0020-3002
7,HTGP0130-3003
7,HTGP0160-3004
7,HG00BX86-3001
7,HTGP0300-3003
7,HTGP0250-3003
7,HTGP0280-3003
7,HTGP0460-3003
7,HTGP0290-3003
7,HTGP0470-3003
8,HTGP0130-3003
8,HTGP0180-3006
8,HTGP0510-3004
8,HTGP0170-3003
8,HTGP0450-3007
8,HTGP0370-3002
8,HTGP0340-3003
8,HTGP0110-3006
8,HTGP0260-3005
9,HTGP0130-3003
9,KDMP0410-3004
9,HTGP0450-3007
9,HTGP0320-3003
9,HTGP0360-3003
9,HTGP0200-3003
9,HTGP0490-3003
9,HTGP0210-3005
9,HTGP0260-3005
10,TTC2010-3037
10,TTHA0110-3004
10,TTHA0120-3004
10,TTHA0100-3003
11,ZZPP0520-3196
11,TTHA0110-3005
11,ZZPP0520-3096
11,TTHA0110-3004
11,TTHA0100-3004
11,ZZPP0520-3131
11,TTHA0120-3004
11,TTHA0100-3003
11,TTHA0120-3005
12,TZLF1300-3075
13,TTC8840-3004
13,TTC2030-3043
13,TTC8830-3004
13,TTC8860-3003
13,TTC8810-3003
13,TTC8820-3003
13,TTC8840-3003
13,TTC8810-3004
13,TTC8860-3004
13,TTC8830-3003
13,TTC8820-3004
14,TTC6540-3002
15,TTC8420-3004
15,TTC8420-3005
15,TTC8460-3003
15,TTC8450-3004
15,TTC2080-3026
15,TTC8460-3004
15,TTC8450-3003
16,ZZPC0220-3196
16,ZZPC0220-3220
16,ZZPC0220-3221
17,ZZPC0220-3201
17,ZZPC0220-3200
17,ZZPC0220-3202
17,ZZPC0220-3228
17,ZZPC0220-3230
18,ZZPC0220-3203
18,ZZPC0220-3205
18,ZZPC0220-3198
19,TTC1030-3041
19,TTZW0410-3013
20,TTC1020-3031
20,TTC6530-3002
21,TTC8070-3006
21,TTC8060-3008
21,TTC8020-3008
21,TTC8040-3011
21,TTC8050-3007
22,TTC8070-3006
22,TTC8030-3009
22,TTC2050-3022
23,TTC8010-3007
23,TZLF2300-3066
23,TZLF8020-3019
24,ZZPC0220-3236
24,ZZPC0220-3223
24,ZZPC0220-3213
24,ZZPC0220-3209
24,ZZPC0220-3233
24,ZZPC0220-3226
24,ZZPP0520-3223
24,ZZPC0220-3210
24,ZZPC0220-3234
25,ZZPC0220-3231
25,ZZPC0220-3224
25,ZZPC0220-3235
25,ZZPC0220-3207
26,HTGP0310-3003
27,HTGP0230-3003
27,HTGP0190-3004
27,HTGP0220-3003
28,TTC1040-3033
28,TTC2060-3020
28,ZZPP0420-3152
29,TZLM3300-3064
29,TZLM1300-3080
29,TZLM4300-3019
29,TZLM7030-3008
29,TZLM2300-3067
30,TTC6550-3006
30,TTC6520-3002
31,ZZPP0520-3238
31,ZZPP0520-3237
32,ZZPP0520-3238
33,ZZPC0220-3195
33,ZZPC0220-3197
33,ZZPC0220-3225
33,ZZPC0220-3232
33,ZZPC0220-3204
33,ZZPC0220-3199
34,ZZPC0220-3211
34,ZZPC0220-3208
35,TTC1050-3019
35,TTC2060-3020
35,TTC8440-3003
36,TTHA0110-3004
36,TTHA0120-3004
36,TTHA0100-3003
37,TTHA0110-3004
37,TZLM7020-3009
37,TTHA0120-3004
37,TTHA0100-3003
38,TTC1010-3019
39,ZW00BS75-3003
39,ZW00BS75-3005
40,ZW00BS75-3003
40,ZW00BS75-3005
41,ZW00BS75-3003
41,ZW00BS75-3005
42,ZZPP0420-3174
42,ZZPP0520-3223
42,HTGP0010-3004
43,HTGP0480-3002
43,HTGP0460-3003
43,HTGP0090-3004
43,HTGP0470-3003
44,HTGP0340-3003
45,TTC8410-3003
46,TTC8430-3003
47,ZZPP0420-3182
47,ZZPP0420-3183
47,ZZPP0420-3179
47,ZZPP0420-3158
47,ZZPP0420-3184
48,TTHA0100-3003
49,HBIETE02-3005
50,ZZPC0220-3186
50,ZZPC0220-3185
51,HTGP0080-3005
51,HTGP0100-3004
51,HTGP0050-3007
52,TZMV3100-3048
52,TZMV2100-3051
53,ZZPP0520-3239
54,ZZPP0520-3232
55,ZZPP0520-3232
56,TZMV1100-3050
56,TZLM7050-3010
57,ZZPP0520-3199
58,HTGP0290-3003
59,ZZPP0520-3237
60,ZZPP0520-3237
