course_code,title,credits,type_name,objective,teaching_methods,content,learning_material,teaching_method,qualifications,employer_connections,exam_schedule,international_connections,workload,content_scheduling,course_information,further_information,evaluation_scale,unit_title,teaching_method_online,teaching_method_contact,min_seats,max_seats
TTC2070-3016,Project Management and Practices,4.0,Realization,"Purpose:
Working in project format is very common in various organizations and communities. With projects, the operations can be directed towards target-oriented and systematic development of products and services or change management completion in various operation environments. In this course you learn what is meant by project, what kind of tasks, roles and stages are included in project work. After the course you can act as a member of a project group and act according to its goals.

EUR-ACE Competences:
Knowledge and understanding
Engineering Practice
Multidisciplinary competences 

After completing the study unit, you will know the basic concepts related to project activities and understand what is meant by project work, requirements definition, budgeting or work supervision. You identify the dependencies of variables important to the software project. Examples include the scope of the software, the resources used and the resulting costs.

You will be able to produce a project plan, schedule, preliminary division of work, specification of requirements, and prepare a rough cost estimate for a software project. You can identify the stakeholders important to the project and define the different target groups of the service produced. To support the definition of requirements, you can prepare a Mockup description of the user interface using the appropriate work tool.

You know the importance of different stakeholders related to software development and the importance of the necessary communication. You recognize the various boundary conditions or the effects of legislation on the design of a software project and know how to take them into account when necessary.","- Flipped Learning 
- independent study
- Remote Guidance ZOOM/TEAMS
- Face2Face support
- exercises","- basics of project work
- roles of actors and stakeholders in various stages of project
- project methods, project breakdown structure and stages
- breakdown of tasks
- estimation of work load and costs
- costs, risk assessment and management
- agile project vs. traditional project
- project monitoring and control","Materials in the Gitlab environment.

https://ttc2070.pages.labranet.jamk.fi/en",Online,,"- visiting lecturers
- projektiharjoitus",https://ttc2070.pages.labranet.jamk.fi/en/7-Exam-arrangements/exam/,-,"One credit (1 Cr) corresponds to an average of 27 hours of work.

- support 20 h
- assignment 50 h
- independent study 40 h
Total 110 h","After course info-day you can proceed freely during active course period. If you have questions you can join ZOOM-meetings and ask help from teacher.  After accecptance of exercises you get a licence to execute a course exam. The course exam is done using Exam-studio service.

More information: https://ttc2070.pages.labranet.jamk.fi/en/",http://ttc2070.pages.labranet.jamk.fi/en,"avoinExecution of course relays heavily on an Flipped Learn-method. This means a student has to do actively self studys and exercises. There is ZOOM-session where lecturer answers a questions and gives guidance with exercises. Also TEAMS-channel open for questions.

You can join also local support contact day at JAMK IT Dynamo Turbiini house.

ATTENTION: You have to be joining minimum six times for support sessions in ZOOM or locally at Turbiini house.All activity will be recorded activity for course.",Pass/Fail,School of Technology,4.0,0.0,20.0,70.0
TTC2040-3019,Introduction to IoT systems,3.0,Realization,"Purpose and objectives:
You recognize the potential of IoT (Internet of Things) as part of the change in society brought about by digitization. You recognize the the facts affecting the technologies of the composition and the various parts of IoT value chain and understand the facts affecting their choice. You are able to retrieve information on the various parts related to the IoT value chain.

EUR-ACE Competences:
Knowledge and Understanding
Engineering Practice",,"Parts of IoT value chain
- Sensing solutions
- Most commonly used data communication solutions
- Most used protocols of IoT systems
- IoT platforms
- Various data sources: open data, measurement data, data retrieved from files
- Data visualization",,Contact,"Basics in Programming
Data Networks
Use and command of Linux",,,,,,,,0-5,School of Technology,0.0,3.0,20.0,35.0
HTGP0060-3005,Collaboration Tools,2.0,Realization,"Software development is teamwork. In order to collaborate and work efficiently in software projects, appropriate tools are needed. This course aims at introducing you some tools designed for such purposes. After completing the course you are familiar with a set of tools and you are ready to start collaborating with your team members.

Course Competences
Business Compentece
Systems and methods in ICT
Internationalisation and communications competence
Learning and information management competence

You understand importance of collaboration in software projects. You know and are able to use different kind of tools designed for various collaborative tasks such as communication and task management, for example. You are able to assess suitable tools for your team in terms of requirements and licensing. You are familiar with tools related to version control, spefically Git and GitHub.","- Lectures / real-time excercises in auditorium
- Individual exercises
- Group exercises","Tools for communication
Tools for task management
Version Control Systems, Git and GitHub
Tools for specific purposes used in software projects",Course material written by the teacher as well as selected online resources.,Contact,Basic computer skills are required. You must be familiar with command line interface.,,,,Approximately 54 hours.,,,Avoin amk 10 (included in the total capacity),Pass/Fail,School of Business,0.0,2.0,20.0,100.0
HTGP0500-3005,Digital Photography and Video Production,5.0,Realization,"The object of the course
Do you want to know how to take stunning photographs? Are you interested in creating a great video? The course helps you to understand how to apply photo- and videography techniques, how to organize a photoshoot, and work in the set to produce high quality still photographs or videos.

Course competences
Cross-disciplinary competence in games
Systems and methods in ICT

The learning objectives of the course
The student who completes the course understands how a digital still or video camera works. Student can take technically and aesthetically valid digital photographs and produce videos. Student knows basic principles of digital image and video acquisition. Student understands basic digital photo- and videography workflow. Student can improve production values with software tools.

The student learns the importance of script writing and other documentation and learns how to communicate design principles to production team, publishers and other stakeholders.","The primary mode of delivery for this course are contact lectures and workshops, as well as weekly individual assignments. The in-class activities deepen the learning in the forms of tutorials, reflection, and guidance. During the course the student will become familiar with operating a DSLR-camera through practical assignments, both in photography and video production.","In the course you will be focused on the basic concepts related to digital photo- and videography: exposure, lighting, composition, editing and producing. Planning a photoshoot and creating a script for video production are also covered, as well as working with different scenery in variety of conditions.

Software tools in the course are the ones most commonly used in professional productions.","Long B. Complete Digital Photography, 2018
Andersson B. The DSLR Filmmaker's Handbook Real-World Production Techniques, 2015",Contact,"Basics for digital media -course needs to be passed before attending this course. If you have not passed the course, you need to provide sufficient evidence about the skills required in the course in question.",Possible special lectures from the experts concerning working in audiovisual production.,"There will be no exam during this course. The course is assessed based on a photography project and a video production project, as well as smaller assignments, course activity and self-assessment.",,"Course workload is 5 ECTS = approx. 135 hours.  
 
Lectures: 20 %  
Assignments: 70 %  
Self-reflection, reporting: 10 %",,This course is focused for the degree students but it can be included in various study modules (like diplomas or any other life-long-learning modules).,"Edufutura 5
Avoin amk 5",0-5,School of Business,0.0,5.0,20.0,30.0
HTGP0120-3002,Business Basics,2.0,Realization,"Understanding the business is essential for every citizen. This course gives you a basic understanding of how business works.

Course competences
Business competence
Learning and information management competence
Entrepreneurship, innovation and working community competence

You know the different areas of business and the relationships between them. You understand the business fundamentals and the importance of planning for the development of the company.","This implementation utilizes reverse learning, design thinking, and project-based learning. In addition to independent study, you will work in small groups to generate a business idea (product/service). Together, you will create a business plan and assess the idea's business potential and value to the customer.

You will receive feedback on your performance by attending lectures, workshops, and submitting learning assignments. If needed, you will receive individual guidance during contact sessions. 

Your skills will be assessed through submitted assignments, knowledge tests, and a final exam.","Marketing Basics
Financial Management
Financial Statements
Leadership and Management","- Teacher's materials and slides
- 1336/1997 English. Accounting Act. Accessed on 17.5.2023. https://www.finlex.fi/en/laki/kaannokset/1997/en19971336
- Companies and organizations. (N.d.). Suomi.fi website. Accessed on 17.5.2023. https://www.suomi.fi/company",Contact,-,,"The final exam is on week 43. On first contact, the date, place, and time of the exam are informed. Two exam retakes chances approximately at three-week intervals after the initial one.",,"One credit corresponds to an average of 27 hours of work, which means that the load of two credits is approximately 54 hours.

- Contact lessons / workshops: 1h 45min * 8 = 14 hours
- Individual work and exercises: 37h 45min
- Final exam: 2 hours 15 minutes.",Weekly lessons / workshops.,,"The course grade is determined as follows:
- Attendance in lectures/workshops 8%
- Group project 20%
- Individual assignments 22%
- Final exam 50%",0-5,School of Business,0.0,2.0,20.0,80.0
HTGP0130-3003,Practical Training,30.0,Realization,"The object of the course:
Want a stepping stone for work, a card to play when the doors seem to close? internship (card) is a great tool for you to get you a working place! In this course, you are practically moving into the working life and out of our educational institution. After completing this course, you will be integrated into the company of your choice and ready to work in the role that you have agreed with your employer!

Course competences:
Business competence
Cross-disciplinary competence in games
Game production competence
Software engineering competence
Systems and methods in ICT


The learning objectives of the course:
Mastery of operations models typical of the professional field, working life skills, and the development of tasks related to one's own work. The assignments support the implementation of students' personal study plans and the objectives of the degree programme.","In the Practical Training, the student will find a work placement in a company relevant to the student's study plan and the degree programme's objectives. The Practical Training is guided by the PT-Coordinator, Supervising Teacher and Workplace Instructor. Enrollment to the course is non-stop, and the training may be started at any point. Guidance for the training is given by the following methods:

Before starting the Practical Training: Introduction to Practical Training info-lectures (Autumn / Spring). Personal guidance given face-to-face weekly in Practical Training pop-ups. 

During the Practical Training: A guidance meeting in the middle of the training, where student receives feedback of their progress during the training, and the rest of the training is planned.

After the Practical Training: The student holds a seminar presentation to review key points of their Practical Training. The seminar presentations are targeted at 2nd year students. The student also prepares a report, which includes key points of the training, and self-assessment.","Before you go on a internship, you will participate in a info session or have a discussion with the coordinator about the internship placement that is right for you and the technical issues related to the implementation of the internship (eg contract). Each student will search for their own placement, but a internship coordinator and teacher tutor will assist you as needed. You will find the contact details of the coordinator in the workspace corresponding to this course. Obtaining a internship often requires building a good and comprehensive sample portfolio. When planning your training, you should upgrade your portfolio to match your current skills!

The internship will be agreed upon in a separate agreement signed by all parties. In addition to the time, place and contact persons, this agreement goes through the content of the training, and in particular the learning objectives. It is vital that you record this information with sufficient accuracy. After the contract is signed, the student can start the internship.

In the mids of the internship, the student arrange a meeting with the internship supervisor (nominated by the coordinator), you and the supervisor from the company. This meeting analyzes the state of the internship and plan together about the goals of the latter period of the internship.

At the end of your internship, you request a job certificate from the workplace and attach it to your internship report. In addition, you enjoy practicing for the younger generation.

Traineeships are usually done in a company, but it is highly advisable to do the traineeship as part of developing your own business idea",,Contact,Basic studies and about 60 credits of professional studies,,,,"Course workload => 30 ECTS => 810 hours of work. 

The Practical Training agreement is done for a period of 5 months, if the work is full time. If the work is part-time, the period is calculated so that 810 hours of work are completed. Completion of the work is verified by a work certificate.",,,"The evaluation is carried out giving continuous feedback in the workplace by the work supervisor. Two-way feedback is also given in the mid-term meeting by the participants. In the final report and the seminar presentation you will do and present the self-evaluation and the evaluation of the Practical Training as a whole.

The Practical Training course is evaluated as Pass/Fail, the student will receive a passing mark when the training has been completed, the seminar has been held and all the necessary documentation has been delivered.",Pass/Fail,School of Business,0.0,30.0,0.0,50.0
TTC2010-3037,Web Technologies,4.0,Realization,"After completing this course you are able to define, design and implement a valid web site based on standard for the considered the target group.

EUR-ACE Competences:
Knowledge and Understanding
Technical Practice

Course objectives:
You are familiar with the web site development process, its basic techniques and you are able to publish a web site on the public internet.","Class room/Virtual studying
Weekly exercises and tests
Practical work (for example own portfolio resume)","Content
- Definition and basics of design and documentation of a web site (e.g. Synopsis, structural graph, layout plan, testing etc.)
- Development process of web site
- language syntax of web site (HTML5)
- Page layout using styles (CSS)
- Publishing","Material distributed by the lecturer on web sites (e.g. https://www.w3schools.com/ , https://www.w3.org/ as well as instructions on videos).
Moodle for returning asignments.",Contact,Basic ICT skills,-,-,Material is in English,"Studying the material 2 cu
Weekly asignments and tests 1 cu
Practical work 1 cu
===========
In total about 108h work","Starting at 28.8.2023, ending in the middle of December.",The course contains some material in English. In online implementations of the course it is also possible to get a Pass grade.,"Exchange Student: 5
Avoin AMK polkuopiskelijat: 5",0-5,School of Technology,0.0,4.0,20.0,35.0
ZZPP0520-3196,Development as an Expert,5.0,Realization,"During the course you will be prepared for studies at University of Applied Sciences and become part of the study and operating environment. You will find information about  studies and professional options in your field. You will learn to evaluate your skills, set professional goals, make choices in your studies and put them into practice. You will be prepared for a job search and will be aware of opportunities for further studies. You can evaluate, develop and maintain your well-being.","Contact and distance learning, learning assignments and guidance discussions.","1st year:
You do the pre-assignments. You attend the orientation days and info sessions. You attach to the studies and community. You recognize the factors that sustain your well-being and know the guidance services of JAMK. You get to know yourself as a university level student and start to build your own study and career plan (PLP) with the guidance of your teacher tutor. You are able to operate in the learning and operating environments of JAMK, knowing your rights and responsibilities as well as ethical guidelines.

2nd-4th year:
You update your study and career plans and have an annual PLP discussion with your career tutor. You assess your skills, set professional goals for yourself, and take them into account when planning your studies. You will be prepared for a job search and be aware of career and postgraduate opportunities.

The course includes guidelines for reporting skills organized by the Language Center.",The materials of the course are available in Moodle workspace.,Contact,-,"The course content supports working life skills and familiarizes the students with their own profession, including workplace and/or alumni visits.",The course does not have scheduled exams.,Students receive information about internationalization opportunities during their studies.,"Orientation to Studies, 1 cr (27 h)
JAMK as a Study Environment, 1 cr (27 h)
Study and Work Well-being, 1 cr (27 h)
Working Life Skills, 1 cr (27 h)
Career Planning and PLP Discussions, 1 cr (27 h)","1. year (3 cr)
Orientation to Studies
JAMK as a Study Environment
Study and Work Well-being
Career Planning and PLP Discussion

2. year (1 cr)
Working Life Skills
Career Planning and PLP Discussion

3./4. year (1 cr)
Working Life Skills
Career Planning and PLP Discussions",,"The course lasts from the beginning to the end of the studies.

We will also have lessons in spring 2024 - 1 lesson/week",Pass/Fail,School of Technology,0.0,5.0,20.0,35.0
TZLF1300-3075,Phys1 Force and Motion,3.0,Realization,"Purpose:
You will learn the basic concepts of kinematics and dynamics. You will also learn logical thinking and problem solving strategies.

EUR-ACE Competences:
Knowledge and understanding 

Learning outcomes:
After completing this course you are able to identify the basic principles of kinematics and dynamics.","-lectures
-distance learning
-small group learning
-exercises","SI-units, scalars, vectors, uniformly accelerated one dimensional motion, projectile motion, Newton's laws, mechanical forces, uniform circular motion, rotational motion, torque and moment of inertia.",Material made by the teacher,Contact,Basic knowledge of elementary functions and ability to solve simple equations is required.,,The dates and methods of the exam will be announced in the course opening information.,,"One credit corresponds to an average of 27 hours of work, which means that the load of five credits is approximately 80 hours. The load is distributed in different ways depending on the course implementation.",,,Assessment criteria: exam and exercises.,0-5,School of Technology,0.0,3.0,20.0,35.0
TTC8840-3004,Game Engine Programming,5.0,Realization,"Purpose:
In the Game Engine Programming course, you will learn about the fundamental concepts, architecture, design, and programming of a multi-platform game engine. You will create a game engine from scratch using industry-standard programming languages and tools, covering topics such as the game loop, graphics pipeline, input handling, physics simulation, audio playback, scripting, and asset management. You will also learn about game engine architectures, design patterns, and optimization techniques. The course will provide an overview of the game industry and emerging trends in game engine development.

EUR-ACE Competences:
Knowledge and Understanding
Engineering practice
Communication and team-working
Multidisciplinary competences
Engineering practice
Investigations and information retrieval

Learning outcomes:
Throughout the course, you will work on hands-on programming assignments, creating a fully functional game engine and games using the engine. By the end of the course, you will have a solid understanding of game engine development and the skills needed to create high-quality games for multiple platforms.","- lectures
- independent study
- distance learning
- small group learning
- exercises
- learning tasks","The course will cover architecture, design and programming of Game Engine. The course covers topics such as:
- Design of game/real time graphics applications
- Basics of 3D Graphics
- Hierarchical systems
- Event systems
- Parallelism.
- Linear Algebra.
- Visibility checking and optimization.
- Collision checking and response.
- Other components like input and audio.",Materials in the e-learning environment.,Contact,"Basics in programming, Data structures and algorithms, Object-oriented Programming.",,The possible date and method of the exam will be announced in the course opening.,,"One credit (1 Cr) corresponds to an average of 27 hours of work.

- lectures 50 h
- assignment 55 h
- independent study 30 h
Total 135 h",,,"Compulsory attendance to the lessons. Part of the assessment is based on attendance.

Helping other students with their assignments earns extra points for the grade.",0-5,School of Technology,0.0,5.0,0.0,35.0
